更新时间: 2026-01-01 19:40:49（北京时间）

更新时间,#genre#
2026-01-01 19:40:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV8,http://115.45.243.189:8888/rtp/239.77.0.172:5146$广东电信
CCTV8,http://113.120.108.164:4000/rtp/239.21.2.48:5002$山东电信
CCTV8,http://113.101.244.14:10000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://111.113.88.146:2000/rtp/239.121.4.154:8908$宁夏电信
CCTV8,http://58.48.104.87:8989/rtp/239.69.1.125:10388$湖北电信
CCTV9,http://211.158.153.37:8002/rtp/225.0.4.131:7980$四川联通
CCTV9,http://113.25.107.189:10000/rtp/239.1.1.16:8016$山西电信
CCTV9,http://112.226.186.244:1025/udp/239.253.254.79:8000$山东联通
CCTV9,http://115.45.243.189:8888/rtp/239.77.0.135:5146$广东电信
CCTV9,http://113.120.108.164:4000/rtp/239.21.1.153:5002$山东电信
CCTV9,http://113.101.244.14:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://111.113.88.146:2000/rtp/239.121.4.157:8926$宁夏电信
CCTV9,http://58.48.104.87:8989/rtp/239.69.1.104:10262$湖北电信
CCTV10,http://211.158.153.37:8002/rtp/225.0.4.130:7980$四川联通
CCTV10,http://113.25.107.189:10000/rtp/239.1.1.17:8017$山西电信
CCTV10,http://112.226.186.244:1025/udp/239.253.254.234:8000$山东联通
CCTV10,http://115.45.243.189:8888/rtp/239.77.0.134:5146$广东电信
CCTV10,http://113.120.108.164:4000/rtp/239.21.1.155:5002$山东电信
CCTV10,http://113.101.244.14:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://111.113.88.146:2000/rtp/239.121.4.158:8932$宁夏电信
CCTV10,http://58.48.104.87:8989/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://211.158.153.37:8002/rtp/225.0.4.218:7980$四川联通
CCTV11,http://113.25.107.189:10000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://112.226.186.244:1025/udp/239.253.254.169:8000$山东联通
CCTV11,http://115.45.243.189:8888/rtp/239.77.1.108:5146$广东电信
CCTV11,http://113.120.108.164:4000/rtp/239.21.2.2:5002$山东电信
CCTV11,http://113.101.244.14:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://111.113.88.146:2000/rtp/239.121.4.150:9202$宁夏电信
CCTV11,http://58.48.104.87:8989/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://211.158.153.37:8002/rtp/225.0.4.129:7980$四川联通
CCTV12,http://113.25.107.189:10000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://112.226.186.244:1025/udp/239.253.254.235:8000$山东联通
CCTV12,http://115.45.243.189:8888/rtp/239.77.0.136:5146$广东电信
CCTV12,http://113.120.108.164:4000/rtp/239.21.1.156:5002$山东电信
CCTV12,http://113.101.244.14:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://111.113.88.146:2000/rtp/239.121.4.159:8938$宁夏电信
CCTV12,http://58.48.104.87:8989/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://211.158.153.37:8002/rtp/225.0.4.219:7980$四川联通
CCTV13,http://113.25.107.189:10000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://112.226.186.244:1025/udp/239.253.254.175:8000$山东联通
CCTV13,http://115.45.243.189:8888/rtp/239.253.43.196:5146$广东电信
CCTV13,http://113.120.108.164:4000/rtp/239.21.2.3:5002$山东电信
CCTV13,http://113.101.244.14:10000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://111.113.88.146:2000/rtp/239.121.4.13:8028$宁夏电信
CCTV13,http://58.48.104.87:8989/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://211.158.153.37:8002/rtp/225.0.4.128:7980$四川联通
CCTV14,http://113.25.107.189:10000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://112.226.186.244:1025/udp/239.253.254.236:8000$山东联通
CCTV14,http://115.45.243.189:8888/rtp/239.77.0.133:5146$广东电信
CCTV14,http://113.120.108.164:4000/rtp/239.21.1.157:5002$山东电信
CCTV14,http://113.101.244.14:10000/rtp/239.77.0.133:5146$广东电信
CCTV14,http://111.113.88.146:2000/rtp/239.121.4.160:8944$宁夏电信
CCTV14,http://58.48.104.87:8989/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://211.158.153.37:8002/rtp/225.0.4.220:7980$四川联通
CCTV15,http://113.25.107.189:10000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://112.226.186.244:1025/udp/239.253.254.170:8000$山东联通
CCTV15,http://115.45.243.189:8888/rtp/239.77.1.239:5146$广东电信
CCTV15,http://113.120.108.164:4000/rtp/239.21.2.4:5002$山东电信
CCTV15,http://113.101.244.14:10000/rtp/239.77.1.239:5146$广东电信
CCTV15,http://111.113.88.146:2000/rtp/239.121.4.202:9208$宁夏电信
CCTV15,http://58.48.104.87:8989/rtp/239.69.1.155:10566$湖北电信
CCTV16,http://113.25.107.189:10000/rtp/239.1.1.122:8122$山西电信
CCTV16,http://115.45.243.189:8888/rtp/239.77.0.165:5146$广东电信
CCTV16,http://113.101.244.14:10000/rtp/239.77.0.165:5146$广东电信
CCTV16,http://111.113.88.146:2000/rtp/239.121.4.122:8008$宁夏电信
CCTV16,http://58.48.104.87:8989/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://211.158.153.37:8002/rtp/225.0.4.179:7980$四川联通
CCTV17,http://113.25.107.189:10000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://112.226.186.244:1025/udp/239.253.254.168:8000$山东联通
CCTV17,http://115.45.243.189:8888/rtp/239.77.0.198:5146$广东电信
CCTV17,http://113.120.108.164:4000/rtp/239.21.1.186:5002$山东电信
CCTV17,http://113.101.244.14:10000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://111.113.88.146:2000/rtp/239.121.4.61:8340$宁夏电信
CCTV17,http://58.48.104.87:8989/rtp/239.69.1.152:10548$湖北电信
CCTV4K,http://115.45.243.189:8888/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://115.45.243.189:8888/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://113.101.244.14:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://113.101.244.14:10000/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://58.48.104.87:8989/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://211.158.153.37:8002/rtp/225.0.4.223:7980$四川联通
兵器科技,http://113.25.107.189:10000/rtp/239.1.1.97:8097$山西电信
兵器科技,http://115.45.243.189:8888/rtp/239.253.43.18:5146$广东电信
兵器科技,http://113.101.244.14:10000/rtp/239.253.43.18:5146$广东电信
兵器科技,http://58.48.104.87:8989/rtp/239.69.1.79:10114$湖北电信
风云音乐,http://211.158.153.37:8002/rtp/225.0.4.205:7980$四川联通
风云音乐,http://113.25.107.189:10000/rtp/239.1.1.96:8096$山西电信
风云音乐,http://115.45.243.189:8888/rtp/239.253.43.29:5146$广东电信
风云音乐,http://113.101.244.14:10000/rtp/239.253.43.29:5146$广东电信
风云足球,http://211.158.153.37:8002/rtp/225.0.4.210:7980$四川联通
风云足球,http://113.25.107.189:10000/rtp/239.1.1.101:8101$山西电信
风云足球,http://115.45.243.189:8888/rtp/239.253.43.14:5146$广东电信
风云足球,http://113.101.244.14:10000/rtp/239.253.43.14:5146$广东电信
风云足球,http://58.48.104.87:8989/rtp/239.69.1.81:10126$湖北电信
风云剧场,http://211.158.153.37:8002/rtp/225.0.4.209:7980$四川联通
风云剧场,http://113.25.107.189:10000/rtp/239.1.1.93:8093$山西电信
风云剧场,http://115.45.243.189:8888/rtp/239.253.43.26:5146$广东电信
风云剧场,http://113.101.244.14:10000/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://211.158.153.37:8002/rtp/225.0.4.222:7980$四川联通
怀旧剧场,http://113.25.107.189:10000/rtp/239.1.1.95:8095$山西电信
怀旧剧场,http://115.45.243.189:8888/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://113.101.244.14:10000/rtp/239.253.43.5:5146$广东电信
第一剧场,http://211.158.153.37:8002/rtp/225.0.4.206:7980$四川联通
第一剧场,http://113.25.107.189:10000/rtp/239.1.1.94:8094$山西电信
第一剧场,http://115.45.243.189:8888/rtp/239.253.43.15:5146$广东电信
第一剧场,http://113.101.244.14:10000/rtp/239.253.43.15:5146$广东电信
第一剧场,http://58.48.104.87:8989/rtp/239.69.1.74:10084$湖北电信
